Company/Brand,Location,Sector,What it does,Investor,Amount,Stage
Bombay Shaving,,E-commerce,Provides a range of male grooming products,Sixth Sense Ventures,"$6,300,000",
Ruangguru,Mumbai,Edtech,"A learning platform that provides topic-based journey, animated videos, quizzes, infographic and mock tests to students",General Atlantic,"$150,000,000",Series C
Eduisfun,Mumbai,Edtech,It aims to make learning fun via games.,"Deepak Parekh, Amitabh Bachchan, Piyush Pandey","$28,000,000",Fresh funding
HomeLane,Chennai,Interior design,Provides interior designing solutions,"Evolvence India Fund (EIF), Pidilite Group, FJ Labs","$30,000,000",Series D
Nu Genes,Telangana,AgriTech,"It is a seed company engaged in production, processing and marketing of seeds",Innovation in Food and Agriculture (IFA),"$6,000,000",
FlytBase,Pune,Technology,A drone automation platform,Undisclosed,,
Finly,Bangalore,SaaS,"It builds software products that makes work simpler, pleasant, and productive","Social Capital, AngelList India, Gemba Capital, Omphalos Ventures,  91springboard via Atal Innovation Mission, Niti Aayog.",,
Kratikal,Noida,Technology,It is a product-based cybersecurity solutions provider,"Gilda VC, Art Venture, Rajeev Chitrabhanu.","$1,000,000",Pre series A
Quantiphi,,AI & Tech,It is an AI and big data services company providing business solutions.,Multiples Alternate Asset Management,"$20,000,000",Series A
Lenskart,Delhi,E-commerce,It is a eyewear company,SoftBank,"$275,000,000",Series G
Cub McPaws,Mumbai,E-commerce & AR,A B2C  brand that focusses on premium and comfortable merchandise for Generation Alpha – kids,Venture Catalysts,,
Appnomic,Bangalore,SaaS,"It is a self-healing enterprise, the IT operations software detects, predicts and prevents problems before they happen",Avataar Ventures,"$22,000,000",
Kaleidofin,Chennai,Fintech,Platform that provides complete financial solutions for excluded individuals and households,Oikocredit,"$5,000,000",Series A
JobSquare,Ahmedabad,HR tech,Technology-based platform that is connecting suitable applicants to the right recruiters,Titan Capital,"$140,500",
Open Secret,,Foodtech,It produces and sells top quality snacks,Matrix Partners,,
LivFin,Delhi,Fintech,"Grants small business loans, supply chain finance and working capital loans to small and medium enterprises",German development finance institution DEG,"$5,000,000",
Byju's,,Edtech,Provides online learning classes,"South Africa’s Naspers Ventures, the CPP Investment Board","$540,000,000",
Zest Money,Bangalore,Fintech,Uses AI to do risk profiling of e-commerce consumers who opt for EMI,Goldman Sachs.,"$15,000,000",Series B
Witblox,,Edtech,Offers a range of robotics learning tools,Mumbai Angels Network,"$182,700",
Azah Personal Care Pvt. Ltd.,Gurugram,Health,Aims to solve some problems in the feminine hygiene sector,"Kunal Bahl, Rohit Bansal.",,Pre series A
SalaryFits,,Fintech,A platform that promotes financial well-being of employees at workplace,Brazilian VC Fund Confrapar,"$5,000,000",
Pristyn Care,,Healthcare,Delivers advanced medical care & clinical excellence aided by next-level technology,"Sequoia India, Hummingbird Ventures, Greenoaks Capital, AngelList.","$12,000,000",Series B
Springboard,,Edtech,Offers online courses and extensive mentor-based learning,Reach Capital,"$11,000,000",Post series A
DROR Labs Pvt. Ltd,Delhi,Safety tech,It uses technology to create a trust-based network of responsible citizens to ensure safety,Inflection Point Ventures,,
Medlife,Bangalore,Pharmaceutical,It solves inadequacies in the healthcare delivery system through technology,Wilson Global Opportunities Fund,"$15,500,000",
Seekify,Delhi,SaaS,Customer Experience (CX) Automation platform,Sequoia Capita,"$1,500,000",Seed funding
Toffee Insurance,Haryana,Insurance technology,Provides variety of insurance plans and policies,IVM Intersurer,"$5,500,000",Series A
Fireflies .ai,,AI,Developer of an artificial intelligence-powered assistant for businesses,Canaan Partners,"$5,000,000",
HungerBox,Bangalore,Foodtech,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias","Paytm, Asian VC fund NPTK, Sabre Partners, Neoplux.","$12,000,000",Series C
Bijak,,AgriTech,B2B platform for agricultural commodities.,"Omnivore and Omidyar Network India, Sequoia Capital","$2,500,000",Seed fund
